recipe_slug	rating
falafel	0.0
spamburger	0.75
bacon-fried-rice	0.75
chicken-fingers	0.75
apple-crisp	1.0
cranberry-apple-crisp	1.0
bacon-chocolate-chip-cookies	1.0
sujebi	0.0
pasta-primavera	0.75
ramen	0.0
brownies	1.0
bacon-wrapped-scallops	0.75
bacon-egg-muffins	0.75
breakfast-burritos	0.75
bolognese-sauce	0.0
croissants	0.75
bacon-souffle	0.75
souffle	1.0
chocolate-souffle	1.0
butter-croissants	0.75
pickled-green-beans	0.0
fried-oysters	0.0
peanut-butter-brownies	1.0
almond-chip-cookies	1.0
guacamole	0.0
brioche-bread	0.0
brioche-bread-with-chocolate	1.0
asparagus-quiche	0.75
asparagus-burger	0.0
ma-la-chicken	0.75
cold-noodles-with-tomatoes	0.0
tamales	0.75
enchiladas	0.75
tacos	0.75
burritos	0.75
peanut-butter-cupcakes	1.0
pickled-asparagus	0.5
chocolate-peanut-butter-cake	1.0
udon	0.5
vegetable-lasagna	0.75
maple-bacon-donuts	0.75
maple-bacon-pancakes	0.75
spinach-and-ricotta-stuffed-shells	0.75
quesadillas	0.75
pico-de-gallo	0.5
nachos	0.75
cold-soba-noodles-with-tomato-and-cucumber	0.5
fajitas	0.75
loaded-nachos	0.75
lasagna	0.75
chicken-nuggets	0.75
pain-au-chocolat	1.0
nacho-dip	0.75
nacho-salad	0.5
nacho-casserole	0.75
nacho-fries	0.75
tempura-udon	0.5
peach-crisp	1.0
apple-pie	1.0
blueberry-crisp	1.0
berry-crumble	1.0
strawberry-rhubarb-crisp	1.0
peach-cobbler	1.0
cranberry-sauce	0.5
cherry-cobbler	1.0
apple-crumble	1.0
chocolate-croissants	1.0
french-toast	0.5
chocolate-babka	1.0
cinnamon-babka	1.0
blueberry-crumble	1.0
spam-musubi	0.5
taco-salad	0.5
chiles-rellenos	0.75
almond-croissants	0.5
cranberry-relish	0.5
ma-la-beef	0.5
chocolate-cake	1.0
spinach-quiche	0.75
mushroom-quiche	0.75
quiche-lorraine	0.75
croissant-aux-amandes	0.5
danishes	1.0
spinach-and-feta-quiche	0.75
cold-sesame-noodles	0.5
soba-noodle-salad-with-peanut-dressing	0.5
dan-dan-noodles	0.5
vanilla-souffle	1.0
bacon-wrapped-dates	0.75
cherry-pie	1.0
berry-crisp	1.0
bacon-and-egg-breakfast-sandwich	0.75
bacon-wrapped-shrimp-skewers	0.75
bacon-wrapped-chicken	0.75
bacon-wrapped-asparagus	0.75
bacon-mac-and-cheese	0.75
chicken-alfredo-lasagna	0.75
classic-beef-lasagna	0.75
vegetarian-mushroom-lasagna	0.5
spinach-and-ricotta-lasagna	0.75
